AKRO Akero-Therapeutics
AKTS Akoustis-Technologies
AKTX Akari-Therapeutics-Plc-
AKU Akumin-
AKUS Akouos
ALBO Albireo-Pharma
ALCO Alico
ALDX Aldeyra-Therapeutics
ALEC Alector
ALGN Align-Technology
ALGT Allegiant-Travel-Company-
ALIM Alimera-Sciences
ALJJ ALJ-Regional-Holdings
ALKS Alkermes-plc-
ALLK Allakos-
ALLO Allogene-Therapeutics
ALLT Allot-
ALNA Allena-Pharmaceuticals
ALNY Alnylam-Pharmaceuticals
ALOT AstroNova
ALPN Alpine-Immune-Sciences
ALRM Alarm.com-Holdings
ALRN Aileron-Therapeutics
ALRS Alerus-Financial-
ALSK Alaska-Communications-Systems-Group
ALT Altimmune
ALTA Altabancorp-
ALTM Altus-Midstream-Company-
ALTR Altair-Engineering-
ALVR AlloVir
ALXN Alexion-Pharmaceuticals
ALXO ALX-Oncology-Holdings-
ALYA Alithya-Group-
AMAG AMAG-Pharmaceuticals
AMAL Amalgamated-Bank-
AMAT Applied-Materials
AMBA Ambarella
AMCX AMC-Networks-
AMD Advanced-Micro-Devices
AMED Amedisys-
AMEH Apollo-Medical-Holdings
AMGN Amgen-
AMKR Amkor-Technology
AMNB American-National-Bankshares
AMOT Allied-Motion-Technologies
AMPH Amphastar-Pharmaceuticals
AMRB American-River-Bankshares-
AMRH Ameri-Holdings
AMRHW Ameri-Holdings
AMRK A
AMRN Amarin-
AMRS Amyris
AMSC American-Superconductor-
AMSF AMERISAFE
AMSWA American-Software
AMTB Amerant-Bancorp-
AMTBB Amerant-Bancorp-
AMTD TD-Ameritrade-Holding-
AMTI Applied-Molecular-Transport-
AMTX Aemetis
AMWD American-Woodmark-
AMYT Amryt-Pharma-plc-
AMZN Amazon.com
ANAB AnaptysBio
ANAT American-National-Group
ANCN Anchiano-Therapeutics-
ANDE The-Andersons
ANGI ANGI-Homeservices-
ANGO AngioDynamics
ANIK Anika-Therapeutics-
ANIP ANI-Pharmaceuticals
ANIX Anixa-Biosciences
ANNX Annexon
ANPC AnPac-Bio
ANSS ANSYS
ANTE AirNet-Technology-
ANY Sphere-3D-
AOSL Alpha-and-Omega-Semiconductor
AOUT American-Outdoor-Brands
APA Apache-
